priority_rank,signal_code,signal_family,weight_points,automation_tier,primary_channels,automated_now,proxy_if_not_automated
1,poc_stage_progression,deal_progression,12,automated_direct,first_party_csv,1,
2,erp_s4_migration_milestone,transformation_rollout,10,automated_direct,news_rss|company_pr|filings,1,
3,supply_chain_platform_rollout,transformation_rollout,10,automated_direct,news_rss|company_pr|filings,1,
4,cost_reduction_mandate,budget_urgency,9,automated_direct,news_rss|earnings_transcripts,1,
5,vendor_consolidation_program,budget_urgency,8,automated_direct,news_rss|procurement_notes,1,
6,governance_enforcement_need,governance_risk,8,automated_direct,news_rss|filings|risk_updates,1,
7,compliance_governance_messaging,governance_risk,7,automated_direct,news_rss|policy_updates,1,
8,procurement_legal_opened,deal_progression,8,partial_manual,first_party_csv|manual_review_import,1,
9,security_review_started,deal_progression,8,partial_manual,first_party_csv|manual_review_import,1,
10,success_criteria_signed,deal_progression,8,partial_manual,first_party_csv|manual_review_import,1,
11,pilot_expanded,deal_progression,7,partial_manual,first_party_csv|manual_review_import,1,
12,go_live_date_set,deal_progression,7,partial_manual,first_party_csv|manual_review_import,1,
13,launch_or_scale_event,operational_pressure,7,automated_direct,news_rss|company_pr,1,
14,media_traffic_reliability_pressure,operational_pressure,6,automated_direct,news_rss|incident_reports,1,
15,major_distribution_expansion,operational_pressure,6,automated_direct,news_rss|company_pr,0,launch_or_scale_event
16,demand_planning_upgrade,operational_pressure,6,automated_direct,news_rss|company_pr,0,supply_chain_platform_rollout
17,warehouse_digitization_program,operational_pressure,6,automated_direct,news_rss|company_pr,0,supply_chain_platform_rollout
18,control_tower_adoption,operational_pressure,6,automated_direct,news_rss|company_pr,0,supply_chain_platform_rollout
19,audit_deadline_announcement,governance_risk,6,automated_direct,news_rss|regulatory_updates,0,governance_enforcement_need
20,data_governance_program,governance_risk,6,automated_direct,news_rss|policy_updates,0,compliance_governance_messaging
21,cloud_cost_takeout,budget_urgency,6,automated_direct,news_rss|earnings_transcripts,0,cost_reduction_mandate
22,margin_improvement_program,budget_urgency,6,automated_direct,news_rss|earnings_transcripts,0,cost_reduction_mandate
23,tool_standardization,budget_urgency,6,automated_direct,news_rss|company_pr,0,vendor_consolidation_program
24,board_level_transformation_language,budget_urgency,5,automated_via_provider,earnings_transcripts_vendor,0,cost_reduction_mandate
25,executive_hire_supply_chain,org_change,5,automated_via_provider,linkedin_provider|news_rss,0,first_party_exec_tracking
26,executive_hire_transformation,org_change,5,automated_via_provider,linkedin_provider|news_rss,0,first_party_exec_tracking
27,cio_cdo_statement_on_controls,org_change,5,automated_via_provider,conference_feeds|transcripts,0,governance_enforcement_need
28,partner_platform_announcement,ecosystem_change,4,automated_direct,news_rss|partner_blogs,0,vendor_consolidation_program
29,contract_renewal_window_signal,procurement_timing,4,partial_manual,first_party_csv|crm_notes,0,procurement_legal_opened
30,competitive_displacement_signal,procurement_timing,4,partial_manual,first_party_csv|deal_notes,0,vendor_consolidation_program
31,kubernetes_detected,technical_context,2,automated_direct,technographics,1,
32,devops_role_open,technical_context,2,automated_direct,jobs_pages,1,
33,platform_role_open,technical_context,2,automated_direct,jobs_pages,1,
34,generic_digital_transformation_pr,weak_context,1,automated_direct,news_rss,0,
35,generic_cloud_migration_pr,weak_context,1,automated_direct,news_rss,0,
