company_name,domain,product,signal_code,source,evidence_url,evidence_text,confidence,observed_at
Tata Consumer Products,tataconsumer.com,zopdev,poc_stage_progression,first_party_csv,internal://crm/opportunity/tataconsumer-security-review,security review started in procurement cycle,0.9,2026-02-17T00:00:00Z
Coca-Cola India,coca-colaindia.com,zopdev,poc_stage_progression,first_party_csv,internal://crm/opportunity/cocacola-procurement-opened,procurement process initiated for rollout,0.9,2026-02-17T00:00:00Z
Diageo India,diageoindia.com,zopday,supply_chain_platform_rollout,first_party_csv,internal://pm/diageo-control-tower-rollout,control tower rollout milestone reached,0.88,2026-02-17T00:00:00Z
Tata Digital,tatadigital.com,zopnight,vendor_consolidation_program,first_party_csv,internal://strategy/tatadigital-vendor-consolidation,vendor consolidation workstream approved,0.86,2026-02-17T00:00:00Z
Conde Nast,condenast.com,zopdev,media_traffic_reliability_pressure,first_party_csv,internal://incident/condenast-ad-stack,ad stack reliability issue during traffic surge,0.9,2026-02-17T00:00:00Z
Coca-Cola India,coca-colaindia.com,shared,repo_added_deploy_attempted,first_party_csv,internal://product/cocacola/repo-connected,team connected repository and triggered first deployment,0.88,2026-02-17T00:00:00Z
Coca-Cola India,coca-colaindia.com,zopday,data_platform_initiative,first_party_csv,internal://strategy/cocacola/data-platform-refresh,data platform refresh initiative entered funded phase,0.8,2026-02-17T00:00:00Z
Coca-Cola India,coca-colaindia.com,zopday,idp_golden_path_initiative,first_party_csv,internal://platform/cocacola/golden-path-program,internal platform team approved golden path rollout,0.79,2026-02-17T00:00:00Z
Coca-Cola India,coca-colaindia.com,zopday,supply_chain_platform_rollout,first_party_csv,internal://pm/cocacola/supply-chain-rollout,supply chain platform rollout moved to execution,0.86,2026-02-17T00:00:00Z
Coca-Cola India,coca-colaindia.com,zopdev,compliance_initiative,first_party_csv,internal://risk/cocacola/compliance-initiative,compliance initiative opened for upcoming audit controls,0.82,2026-02-17T00:00:00Z
Coca-Cola India,coca-colaindia.com,zopnight,cost_reduction_mandate,first_party_csv,internal://finance/cocacola/cost-program,finance leadership mandated cloud cost optimization targets,0.87,2026-02-17T00:00:00Z
Coca-Cola India,coca-colaindia.com,zopnight,vendor_consolidation_program,first_party_csv,internal://procurement/cocacola/vendor-consolidation,procurement approved tooling vendor consolidation plan,0.84,2026-02-17T00:00:00Z
Conde Nast,condenast.com,shared,audit_viewed,first_party_csv,internal://product/condenast/audit-viewed,security team viewed audit controls during evaluation,0.85,2026-02-17T00:00:00Z
Conde Nast,condenast.com,shared,poc_stage_progression,first_party_csv,internal://crm/opportunity/condenast-stage-update,poc advanced from technical validation to procurement,0.92,2026-02-17T00:00:00Z
Conde Nast,condenast.com,shared,repo_added_deploy_attempted,first_party_csv,internal://product/condenast/repo-connected,engineering linked repository and executed deployment trial,0.88,2026-02-17T00:00:00Z
Conde Nast,condenast.com,shared,teammate_invited,first_party_csv,internal://product/condenast/team-invite,buyer invited additional stakeholders into workspace,0.83,2026-02-17T00:00:00Z
Conde Nast,condenast.com,zopday,devops_bottleneck_language,first_party_csv,internal://cs/condenast/platform-friction,platform team reported release bottlenecks and onboarding friction,0.78,2026-02-17T00:00:00Z
Conde Nast,condenast.com,zopnight,cost_reduction_mandate,first_party_csv,internal://finance/condenast/efficiency-mandate,leadership set quarterly infrastructure savings objective,0.87,2026-02-17T00:00:00Z
Conde Nast,condenast.com,zopnight,vendor_consolidation_program,first_party_csv,internal://procurement/condenast/vendor-rationalization,vendor rationalization program approved by procurement,0.84,2026-02-17T00:00:00Z
Diageo India,diageoindia.com,shared,poc_stage_progression,first_party_csv,internal://crm/opportunity/diageo-stage-update,poc moved to security and legal review checkpoint,0.92,2026-02-17T00:00:00Z
Diageo India,diageoindia.com,shared,repo_added_deploy_attempted,first_party_csv,internal://product/diageo/repo-connected,delivery team connected repo and completed deployment dry run,0.88,2026-02-17T00:00:00Z
Diageo India,diageoindia.com,zopday,data_platform_initiative,first_party_csv,internal://strategy/diageo/data-platform-program,data platform operating model initiative received budget,0.8,2026-02-17T00:00:00Z
Diageo India,diageoindia.com,zopday,idp_golden_path_initiative,first_party_csv,internal://platform/diageo/golden-path-initiative,platform office launched golden path enablement initiative,0.79,2026-02-17T00:00:00Z
Diageo India,diageoindia.com,zopdev,compliance_initiative,first_party_csv,internal://risk/diageo/compliance-program,compliance workstream created for upcoming audit commitments,0.82,2026-02-17T00:00:00Z
Diageo India,diageoindia.com,zopdev,enterprise_modernization_program,first_party_csv,internal://strategy/diageo/modernization-program,enterprise modernization program approved for phased rollout,0.8,2026-02-17T00:00:00Z
Diageo India,diageoindia.com,zopnight,cost_reduction_mandate,first_party_csv,internal://finance/diageo/cost-program,board mandate issued for infrastructure cost reduction,0.87,2026-02-17T00:00:00Z
Diageo India,diageoindia.com,zopnight,vendor_consolidation_program,first_party_csv,internal://procurement/diageo/vendor-consolidation,global sourcing approved vendor consolidation stream,0.84,2026-02-17T00:00:00Z
Tata Consumer Products,tataconsumer.com,shared,repo_added_deploy_attempted,first_party_csv,internal://product/tataconsumer/repo-connected,delivery team connected repo and triggered pilot deploy,0.88,2026-02-17T00:00:00Z
